Date,Exchange Rate,Currency Pair
2025-09-05,4010,KHR/USD
2025-09-08,4010,KHR/USD
2025-09-08,4010,KHR/USD
2025-09-08,4010,KHR/USD
2025-09-09,4009,KHR/USD
2025-09-10,4008,KHR/USD
2025-09-11,4008,KHR/USD
2025-09-12,4008,KHR/USD
2025-09-15,4006,KHR/USD
2025-09-15,4006,KHR/USD
2025-09-15,4006,KHR/USD
2025-09-16,4007,KHR/USD
2025-09-17,4007,KHR/USD
2025-09-18,4007,KHR/USD
2025-09-19,4007,KHR/USD
2025-09-25,4007,KHR/USD
2025-09-25,4007,KHR/USD
2025-09-25,4007,KHR/USD
2025-09-25,4007,KHR/USD
2025-09-25,4007,KHR/USD
2025-09-25,4007,KHR/USD
2025-09-26,4008,KHR/USD
2025-09-29,4008,KHR/USD
2025-09-29,4008,KHR/USD
2025-09-29,4008,KHR/USD
2025-09-30,4010,KHR/USD
2025-10-01,4011,KHR/USD
2025-10-02,4011,KHR/USD
2025-10-03,4012,KHR/USD
2025-10-06,4012,KHR/USD
2025-10-06,4012,KHR/USD
2025-10-06,4012,KHR/USD
2025-10-07,4013,KHR/USD
2025-10-08,4015,KHR/USD
2025-10-09,4016,KHR/USD
2025-10-10,4019,KHR/USD
2025-10-13,4020,KHR/USD
2025-10-13,4020,KHR/USD
2025-10-13,4020,KHR/USD
2025-10-14,4023,KHR/USD
2025-10-16,4023,KHR/USD
2025-10-16,4023,KHR/USD
2025-10-17,4025,KHR/USD
2025-10-20,4027,KHR/USD
2025-10-20,4027,KHR/USD
2025-10-20,4027,KHR/USD
2025-10-21,4035,KHR/USD
2025-10-22,4032,KHR/USD
2025-10-23,4031,KHR/USD
2025-10-24,4028,KHR/USD
2025-10-27,4025,KHR/USD
2025-10-27,4025,KHR/USD
2025-10-27,4025,KHR/USD
2025-10-28,4024,KHR/USD
